Def,Example,Persian,English
"verpassen, verpasst, verpasste, hat verpasst",1. Ich habe den Zug verpasst. 2. Ich habe die 12-Uhr-Nachrichten verpasst.,"دلتنگ، دلتنگ، از دست رفته، از دست داده است","miss, missed, missed, has missed"
"verpflegen, verpflegt, verpflegte, hat verpflegt",Wir werden hier sehr gut mit Essen verpflegt.,"غذا دادن، سیر کردن، غذا دادن، تغذیه کردن","to feed, fed, fed, has fed"
verpflichtet,"Sie sind verpflichtet, den Unfall zu melden.",موظف,obligated
"verraten, verrät, verriet, hat verraten","1. Wer hat dir das Geheimnis verraten? 2. Sein Blick verriet mir, dass er verletzt ist.","خیانت کرد، خیانت کرد، خیانت کرد، خیانت کرده است","betrayed, betrays, betrayed, has betrayed"
"verreisen, verreist, verreiste, ist verreist",Frau Dr. Müller ist zurzeit verreist.,"سفر کردن، سفر کردن، سفر کرده است","to travel, traveled, traveled, has traveled"
verrückt,1. Bist du verrückt geworden?! 2. So eine verrückte Idee.,دیوانه,crazy
"die Versammlung, -en",Der Minister hielt bei der Versammlung eine Rede.,"مونتاژ، -s","the assembly, -s"
"versäumen, versäumt, versäumte, hat versäumt","Tut mir leid, ich habe die Anmeldefrist versäumt.","دلتنگ شدن، از دست دادن، از دست دادن، از دست داده است","to miss, missed, missed, has missed"
"verschieben, verschiebt, verschob, hat verschoben",Leider muss ich den Termin verschieben.,"شیفت، نوبت، به تعویق افتاده، تغییر کرده است","shift, shifts, postponed, has shifted"
verschieden,1. Unsere beiden Kinder sind sehr verschieden. 2. Wir haben dieses Kleid in verschiedenen Farben.,متفاوت,different
"verschreiben, verschreibt, verschrieb, hat verschrieben",Die Ärztin hat mir Tabletten verschrieben.,"تجویز کردن، مقرر کردن، تجویز کردن، تجویز کرده است","prescribe, prescribes, prescribed, has prescribed"
"verschwinden, verschwindet, verschwand, ist verschwunden",Mein Ausweis ist verschwunden. Hast du ihn vielleicht gesehen?,"ناپدید شدن، ناپدید شدن، ناپدید شدن، ناپدید شده است","disappear, disappears, disappeared, has disappeared"
"versichern, versichert, versicherte, hat versichert",1. Wollen Sie Ihr Gepäck versichern? 2. Wie sind Sie versichert?,"بیمه کردن، بیمه کردن، بیمه کرده است","insure, insured, insured, has insured"
"die Versichertenkarte, -n (D) → A: e-card",Haben Sie Ihre Versichertenkarte dabei?,کارت(های) بیمه (D) → A: کارت الکترونیکی,the insurance card(s) (D) → A: e-card
"die Versicherung, -en",1. Sie sollten eine Versicherung für Ihr Gepäck abschließen. 2. Sie müssen den Unfall der Versicherung melden.,"بیمه، -s","the insurance, -s"
"die Verspätung, -en",Unser Zug hatte 10 Minuten Verspätung.,"تأخیر، -s","the delay, -s"
"versprechen, verspricht, versprach, hat versprochen","Meine Mutter hat mir versprochen, mich abzuholen.","قول، وعده‌ها، وعده داده شده، وعده داده شده است","promise, promises, promised, has promised"
verständlich,"Nach acht Stunden Schule haben die Kinder keine Lust mehr, die Hausaufgaben zu machen. Ich finde das verständlich.",قابل فهم,understandable
das Verständnis,Wir bitten um Ihr Verständnis.,درک,the understanding
"(sich) verstecken, versteckt, versteckte, hat versteckt",1. Ich habe das Geld hinter dem Regal versteckt. 2. Die Kinder verstecken sich im Wald.,"(پنهان کردن)، پنهان کردن، پنهان کردن، پنهان کرده است","(to) hide, hidden, hidden, has hidden"
"(sich) verstehen, versteht, verstand, hat verstanden",1. Ich kann Sie kaum verstehen. Sprechen Sie bitte lauter. 2. Den Satz verstehe ich nicht. 3. Ich verstehe nichts von Computern. 4. Unsere beiden Kinder verstehen sich sehr gut.,"(فهمیدن)، فهمیدن، فهمیدن، فهمیده بودن","(to) understand, understands, understood, has understood"
"versuchen, versucht, versuchte, hat versucht","1. Haben Sie es schon mal mit diesem Mittel versucht? 2. Ich habe immer wieder versucht, Sie zu erreichen. 3. Versuchen Sie doch mal meinen Apfelkuchen.","سعی کردن، کوشش کردن، تلاش کردن، کوشش کرده است","try, tried, attempted, has tried"
"der Versuch, -e","1. In der Forschung werden viele Versuche gemacht. 2. Mein Versuch, etwas zu ändern, blieb ohne Erfolg.","تلاش، -s","the attempt, -s"
"verteilen, verteilt, verteilte, hat verteilt",Kannst du bitte schon mal die Gläser verteilen?,"توزیع کردن، توزیع کردن، توزیع کردن، توزیع کرده است","distribute, distributed, distributed, has distributed"
"der Vertrag, ¨-e",Sie beide müssen den Vertrag unterschreiben.,"قرارداد، -e","the contract, -e"
"vertrauen, vertraut, vertraute, hat vertraut",Ich kenne dich gut. Ich vertraue dir.,"اعتماد، اعتماد کردن، مورد اعتماد بودن، اعتماد کرده است","trust, trusted, trusted, has trusted"
das Vertrauen,Ich habe Vertrauen zu Ihnen.,اعتماد,the trust
"vertreten, vertritt, vertrat, hat vertreten","Wer vertritt Sie, wenn Sie Urlaub machen?","نماینده، نماینده، نماینده، نماینده داشته است","represented, represents, represented, has represented"
"der Vertreter, - die Vertreterin, -nen","1. Als Herr Dr. Müller in Urlaub war, bin ich zu seiner Vertreterin gegangen. 2. Die Elternvertreter treffen sich morgen Abend in der Schule.","نماینده، - نماینده زن، -s","the representative, - the female representative, -s"
"die Vertretung, -en",Herr Dr. Meyer macht für mich die Vertretung.,نمایندگی(ها),the representation(s)
"verurteilen, verurteilt, verurteilte, hat verurteilt",Das Gericht hat den Täter zu einer Geldstrafe verurteilt.,"محکوم کردن، مجرم شناختن، محکوم کردن، مجرم شناخته شدن","to convict, convicted, convicted, has convicted"
"die Verwaltung, -en",Sprechen Sie bitte mit der Verwaltung. Die können Ihnen helfen.,"دولت، -s","the administration, -s"
verwandt,Sind Sie mit Frau Meyer verwandt?,مرتبط,related
"der Verwandte, -n die Verwandte, -n",Zu meinem Geburtstag kommen alle Verwandten.,"فامیل، -s فامیل، -s","the relative, -s the relative, -s"
"verwechseln, verwechselt, verwechselte, hat verwechselt","Entschuldigen Sie, ich habe Sie mit jemandem verwechselt.","گیج کردن، آشفته کردن، آشفته کردن، آشفته کرده است","to confuse, confused, confused, has confused"
"verwenden, verwendet, verwendete, hat verwendet",Dieses Wort wird oft verwendet.,"استفاده کردن، به کار بردن، به کار بردن، استفاده کرده است","use, used, used, has used"
"verzeihen, verzeiht, verzieh, hat verziehen",Das werde ich ihm nie verzeihen können.,"بخشید، بخشید، بخشید، بخشیدم","forgive, forgives, forgave, has forgiven"
Verzeihung,Verzeihung! Ich habe die falsche Nummer gewählt.,بخشش,forgiveness
"verzichten, verzichtet, verzichtete, hat verzichtet",Ich verzichte heute auf den Kaffee.,"خودداری کردن، خودداری کردن، ممتنع کردن، خودداری کرده است","to abstain, abstained, abstained, has abstained"
"das Video, -s",1. Ich habe den Film auf Video aufgenommen. 2. Lass uns ein Video vom Fest machen!,"ویدیو، -s","the video, -s"
viel/viele,1. Ich habe schon viel gelernt. 2. Ich wünsche Ihnen viel Spaß. 3. Hier regnet es viel. 4. Das ist mir viel zu teuer. 5. Im Winter sind viele Leute erkältet.,بسیاری,many
vielleicht,1. Kommst du mit in die Stadt? - Ich weiß noch nicht. Vielleicht. 2. Vielleicht bekomme ich den Job. 3. Die Fahrkarte war vielleicht teuer! 4. Hast du vielleicht Kleingeld für mich?,شاید,perhaps
"das Viertel, - (D, A) → CH: Quartier",Wir wohnen in einem schönen Viertel.,"ناحیه، - (D، A) → CH: ربع","the district, - (D, A) → CH: quarter"
virtuell,Auf dieser Website kann man an einer virtuellen Stadtrundfahrt teilnehmen.,مجازی,virtual
"der Virus, Viren",Ich habe mal wieder einen Virus auf meinem Computer.,"ویروس، ویروس‌ها","the virus, viruses"
"die Visitenkarte, -n",Darf ich Ihnen meine Visitenkarte geben?,کارت ویزیت (ها),the business card(s)
"das Visum, Visa",Das Visum ist für drei Monate gültig.,ویزا,the visa
"das Vitamin, -e","Der Arzt sagt, ich soll viele Vitamine essen.","ویتامین، -s","the vitamin, -s"
voll,1. Die Flasche ist noch ganz voll. 2. Vor den Feiertagen sind die Züge immer sehr voll. 3. Bitte unterschreiben Sie mit Ihrem vollen Namen.,پر,full
die Vollzeit,Ich möchte gerne Vollzeit arbeiten.,تمام وقت,full-time
Volleyball,Im Sommer spiele ich gern Volleyball.,والیبال,volleyball
völlig,Das halte ich für völlig ausgeschlossen.,به طور کامل,fully
von,1. Ich komme gerade vom Zahnarzt. 2. Emil ist ein Freund von mir. 3. Haben Sie noch eine Zeitung von heute? 4. Von jetzt an müssen wir sparen. 5. Das Büro ist von 13 bis 15 Uhr geschlossen.,از,from
voneinander,Wir haben lange nichts voneinander gehört.,یکدیگر,each other
vor,1. Ich bin vor einer Woche zurückgekommen. 2. Das Auto steht vor der Tür. 3. Ich konnte vor Schmerzen nicht schlafen.,قبل از,before
vor allem,"Grüßen Sie alle von mir, vor allem Frau Meier.",بالاتر از همه,above all
voraus,1. Gehen Sie schon voraus. 2. Ich danke Ihnen im Voraus für Ihre Mühe.,از پیش,in advance
"die Voraussetzung, -en","1. Gesunde Ernährung ist die Voraussetzung für ein langes Leben. 2. Er will die Arbeit nur unter der Voraussetzung annehmen, dass ihm die Firma eine Wohnung organisiert.","پیش‌نیاز، -s","the prerequisite, -s"
voraussichtlich,Der Zug hat voraussichtlich 20 Minuten Verspätung.,مورد انتظار,expected
vorbei/vorbei-,1. Die Linie 8 fährt am Krankenhaus vorbei. 2. Keine Sorge! Die Schmerzen sind in ein paar Minuten vorbei. 3. Kommst du um 3 Uhr bei mir vorbei?,گذشته/فراتر از-,past/over-
"(sich) vorbereiten, bereitet vor, bereitete vor, hat vorbereitet",1. Am Sonntag machen wir ein kleines Fest. Ich muss noch viel dafür vorbereiten. 2. Ich muss mich auf meine Prüfung vorbereiten.,"(آماده کردن)، آماده کردن، مهیا کردن، آماده کرده است","(to) prepare, prepares, prepared, has prepared"
"die Vorbereitung, -en",Nächste Woche beginnen wir mit der Vorbereitung für die Prüfung.,آماده سازی,the preparation
vorder-,In den vorderen Reihen sind noch Plätze frei.,قبل از-,before the-
die Vorfahrt,Achtung! Das Auto rechts hat Vorfahrt!,حق تقدم,the right of way
vorgestern,Er hat mich vorgestern angerufen.,پریروز,the day before yesterday
"vorhaben, hat vor, hatte vor, hat vorgehabt",Haben Sie morgen Abend schon etwas vor?,"قصد داشته، برنامه ریزی کرده، نقشه کشیده، قصد داشته","intend, has planned, had planned, had intended"
vorher,Ich komme mit ins Café. Vorher muss ich aber noch zur Bank.,قبلاً,previously
vorhin,Vorhin hat Heidrun angerufen. Du sollst sie zurückrufen.,زودتر,earlier
"vorkommen, kommt vor, kam vor, ist vorgekommen",Kein Problem. Das kann vorkommen.,"رخ می‌دهد، اتفاق می‌افتد، رخ داده است، اتفاق افتاده است","occur, happens, happened, has happened"
vorläufig,1. Ich habe noch keine Wohnung. Ich wohne vorläufig bei einem Freund. 2. Das ist eine vorläufige Entscheidung.,موقت,provisional
"vorlesen, liest vor, las vor, hat vorgelesen",Ich lese meinen Kindern oft etwas vor.,"با صدای بلند خواندن، با صدای بلند خواندن، با صدای بلند خواندن، با صدای بلند خوانده است","read aloud, reads aloud, read aloud, has read aloud"
"vorn, vorne","1. Bitte vorn beim Fahrer einsteigen! 2. Zwei Kinokarten, bitte. – Wo möchten Sie sitzen, vorne oder hinten? 3. Das war noch nicht ganz richtig. Bitte noch mal von vorne.","جلو، جلو","front, front"
"der Vorort, -e",Wir wohnen in einem Vorort von Köln.,"حومه شهر، -s","the suburb, -s"
"vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen","Ich schlage vor, dass wir eine Pause machen.","پیشنهاد کردن، مطرح کردن، پیشنهاد دادن، پیشنهاد داده است","to suggest, suggests, proposed, has suggested"
"der Vorschlag, ¨-e","Ich mache dir einen Vorschlag: Du hilfst mir beim Deutschlernen, und ich lade dich zum Essen ein.","پیشنهاد، ¨-e","the proposal, ¨-e"
"die Vorschrift, -en",Beachten Sie bitte die Vorschriften für das Benutzen der Bibliothek.,"آیین‌نامه، -s","the regulation, -s"
die Vorsicht,Vorsicht! Der Teller ist heiß.,احتیاط,the caution
vorsichtig,"Bitte fahr vorsichtig, die Straße ist glatt.",محتاط,cautious
"(sich) vorstellen, stellt vor, stellte vor, hat vorgestellt",1. So schwierig habe ich mir die Arbeit nicht vorgestellt. 2. Darf ich dir meine Frau vorstellen? 3. Ich möchte mich vorstellen: Mein Name ist Schuster.,"(تصور کردن)، تصور کردن، تصور کردن، تصور کرده است","(to) imagine, imagines, imagined, has imagined"
"die Vorstellung, -en",Wann läuft der Film? – Die nächste Vorstellung ist um 15 Uhr.,"ایده، -s","the idea, -s"
"das Vorstellungsgespräch, -e",Wann hast du dein Vorstellungsgespräch?,مصاحبه شغلی,the job interview
"der Vorteil, -e","Der Vorteil von dieser Wohnung ist, dass sie direkt im Zentrum liegt.","مزیت، -s","the advantage, -s"
"der Vortrag, ¨-e",Ihr Vortrag war sehr interessant.,"سخنرانی، ¨-e","the lecture, ¨-e"
"die Vorwahl, -en",Wie ist die Vorwahl von Hamburg?,کد(های) منطقه,the area code(s)
vorwärts,Ich kann nicht vorbei. Bitte fahr noch ein Stück vorwärts.,به جلو,forward
"der Vorwurf, ¨-e",Eva kann nichts dafür. Mach ihr keine Vorwürfe.,"اتهام، ¨-e","the accusation, ¨-e"
waagerecht,Ziehen Sie bitte einen waagerechten Strich.,افقی,horizontal
wach,1. Bist du schon lange wach? 2. Ich bin gerade wach geworden.,بیدار,awake
"wachsen, wächst, wuchs, ist gewachsen",1. Mein Sohn ist sehr gewachsen. Er ist jetzt schon größer als ich. 2. Ich will mir die Haare wachsen lassen. 3. In meinem Garten wachsen Tomaten und Kartoffeln.,"رشد کردن، رشد کردن، رشد کردن، رشد کرده است","grow, grows, grew, has grown"
